pulled_at,calendar_year,date,dk_ownerships,dk_salaries,event_id,event_name,fd_ownerships,fd_salaries,tour
2026-07-13T05:31:47+00:00,2021,2021-06-06,yes,yes,23,the Memorial Tournament presented by Nationwide,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-05-30,no,no,2021115,Made in HimmerLand presented by FREJA,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-05-30,yes,yes,21,Charles Schwab Challenge,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-05-23,yes,yes,33,PGA Championship,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-05-16,yes,yes,19,AT&T Byron Nelson,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-05-15,no,no,2021113,Betfred British Masters hosted by Danny Willett,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-05-09,yes,yes,480,Wells Fargo Championship,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-05-09,no,no,2021153,Canary Islands Championship,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-05-02,yes,yes,475,Valspar Championship,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-05-02,no,no,2021109,Tenerife Open,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-04-25,no,no,2021110,Gran Canaria Lopesan Open,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-04-18,yes,yes,12,RBC Heritage,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-04-18,no,no,2021152,Austrian Golf Open,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-04-11,yes,yes,536,The Masters #2,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-04-04,yes,yes,41,Valero Texas Open,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-03-28,yes,yes,534,Corales Puntacana Resort & Club Championship #2,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-03-26,no,no,2021148,Kenya Savannah Classic,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-03-21,no,no,2021106,Magical Kenya Open,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-03-21,yes,yes,10,The Honda Classic,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-03-14,no,no,2021105,Commercial Bank Qatar Masters,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-03-14,yes,yes,11,THE PLAYERS Championship,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-03-07,yes,yes,9,Arnold Palmer Invitational presented by Mastercard,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-02-28,yes,yes,473,World Golf Championships-Workday Championship at The Concession,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-02-28,yes,yes,483,Puerto Rico Open,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-02-21,yes,yes,7,The Genesis Invitational,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-02-14,yes,yes,5,AT&T Pebble Beach Pro-Am,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-02-07,no,no,2021103,Saudi International powered by SoftBank Investment Advisers,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-02-07,yes,yes,3,Waste Management Phoenix Open,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-01-31,yes,yes,4,Farmers Insurance Open,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-01-31,no,no,2021102,Omega Dubai Desert Classic,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-01-24,yes,yes,2,The American Express,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-01-24,no,no,2021101,Abu Dhabi HSBC Championship,no,no,euro
2026-07-13T05:31:47+00:00,2021,2021-01-17,yes,yes,6,Sony Open in Hawaii,no,no,pga
2026-07-13T05:31:47+00:00,2021,2021-01-10,yes,yes,16,Sentry Tournament of Champions,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-12-13,no,no,2020098,"DP World Tour Championship, Dubai",no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-12-06,yes,yes,457,Mayakoba Golf Classic presented by UNIFIN,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-12-06,no,no,2020105,South African Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-12-05,no,no,2020106,Golf in Dubai Championship presented by DP World,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-11-29,no,no,2020104,Alfred Dunhill Championship,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-11-22,yes,yes,493,The RSM Classic,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-11-22,no,no,2020103,Joburg Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-11-15,yes,yes,14,The Masters,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-11-08,no,no,2020101,Aphrodite Hills Cyprus Showdown,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-11-08,yes,yes,20,Vivint Houston Open,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-11-01,no,no,2020100,Cyprus Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-11-01,yes,yes,528,Bermuda Championship,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-10-25,no,no,2020086,Italian Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-10-25,yes,yes,527,ZOZO CHAMPIONSHIP @ SHERWOOD,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-10-18,no,no,2020102,Scottish Championship,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-10-18,yes,yes,521,THE CJ CUP @ SHADOW CREEK,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-10-11,no,no,2020078,BMW PGA Championship,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-10-11,yes,yes,47,Shriners Hospitals for Children Open,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-10-04,no,no,2020060,Aberdeen Standard Investments Scottish Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-10-04,yes,yes,54,Sanderson Farms Championship,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-09-27,no,no,2020046,Dubai Duty Free Irish Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-09-27,yes,yes,522,Corales Puntacana Resort & Club Championship,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-09-20,no,no,2020750,Open de Portugal at Royal Óbidos,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-09-20,yes,yes,26,U.S. Open,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-09-13,no,no,2020090,Portugal Masters,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-09-13,yes,yes,464,Safeway Open,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-09-07,yes,yes,60,TOUR Championship,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-09-06,no,no,2020038,Estrella Damm N.A. Andalucia Masters ,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-08-30,no,no,2020011,ISPS HANDA UK Championship,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-08-30,yes,yes,28,BMW Championship,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-08-23,yes,yes,27,THE NORTHERN TRUST,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-08-23,no,no,2020009,ISPS HANDA Wales Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-08-16,no,no,2020007,Celtic Classic,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-08-16,yes,yes,13,Wyndham Championship,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-08-09,no,no,2020005,English Championship,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-08-09,yes,yes,33,PGA Championship,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-08-02,no,no,2020004,Hero Open,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-08-02,yes,yes,476,World Golf Championships-FedEx St. Jude Invitational,no,no,pga
