Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour,,,,,,,
Junghwan Lee,-0.0300,0.0000,-1.7650,-0.3050,-0.1950,-0.0100,-1.85,0.0000,Scottish Open,PGA Tour,,,,,,,
Min Woo Lee  ,0.4117,0.2967,0.2167,-0.7350,0.1667,0.0400,0.46,0.0400,Scottish Open,PGA Tour,,,,,,,
Haotong Li,0.2767,0.0683,0.1250,-0.3350,-0.5760,0.0600,-0.97,0.0900,Scottish Open,PGA Tour,,,,,,,
Mikael Lindberg,0.4175,0.2960,-0.9100,0.4475,-0.1550,0.2500,-0.28,-0.0400,Scottish Open,PGA Tour,,,,,,,
Oliver Lindell,-0.3440,0.3983,0.5580,0.4680,0.1300,-0.1000,0.64,-0.0400,Scottish Open,PGA Tour,,,,,,,
Shane Lowry  ,0.3467,0.4483,0.8267,0.0433,0.0283,-0.1600,1.27,0.0000,Scottish Open,PGA Tour,,,,,,,
Joost Luiten,-0.0950,0.0000,-0.5975,-0.4400,0.0225,-0.0200,-1.41,0.0400,Scottish Open,PGA Tour,,,,,,,
Robert MacIntyre  ,0.5500,0.4713,-0.1763,0.3938,0.0538,-0.0800,0.51,0.1700,Scottish Open,PGA Tour,,,,,,,
Matteo Manassero,-0.4000,0.0283,0.4780,-1.1820,0.1160,-0.1300,-0.97,0.0200,Scottish Open,PGA Tour,,,,,,,
Richard Mansell,0.0200,0.0000,-0.2800,-0.3100,-0.3500,0.1700,-1.25,0.0600,Scottish Open,PGA Tour,,,,,,,
Matt McCarty,-0.1125,0.5325,0.2738,0.3113,0.0438,-0.1100,-0.16,0.0100,Scottish Open,PGA Tour,,,,,,,
Max McGreevy,-0.0600,0.0583,0.4133,-0.6583,0.1917,-0.1900,-0.20,-0.0300,Scottish Open,PGA Tour,,,,,,,
Tom McKibbin,0.7533,0.1067,-0.0550,-0.9600,0.0517,0.1100,-0.25,0.0100,Scottish Open,PGA Tour,,,,,,,
Rory McIlroy,1.1233,2.0500,0.7433,0.8400,0.1067,-0.0600,1.99,0.0600,Scottish Open,PGA Tour,,,,,,,
Mac Meissner,-0.2300,0.5850,0.0050,0.7567,0.3317,-0.0400,0.96,-0.0400,Scottish Open,PGA Tour,,,,,,,
Adrian Meronk,-0.2625,0.0225,-0.3625,-0.2875,-0.2225,0.1900,-1.51,-0.0200,Scottish Open,PGA Tour,,,,,,,
Guido Migliozzi,-0.2675,0.1380,-0.2275,-0.0250,-0.3175,0.0000,-0.55,0.0800,Scottish Open,PGA Tour,,,,,,,
Francesco Molinari,-0.2350,0.0000,0.0250,-1.5850,-0.1200,-0.0900,-2.63,0.0100,Scottish Open,PGA Tour,,,,,,,
Taylor Moore,0.4250,0.2700,-0.2950,0.0500,0.3925,0.1000,0.45,-0.0500,Scottish Open,PGA Tour,,,,,,,
Dylan Naidoo,-0.4400,0.0000,-1.2420,-0.7660,0.3360,0.1100,-1.88,-0.0400,Scottish Open,PGA Tour,,,,,,,
Keita Nakajima,0.1733,0.4267,-0.0367,0.8633,-0.1367,0.0000,0.80,-0.0100,Scottish Open,PGA Tour,,,,,,,
Rasmus Neergaard-Petersen,0.4860,0.1120,-0.0240,0.2020,-0.4420,-0.0300,-0.06,-0.0400,Scottish Open,PGA Tour,,,,,,,
Alex Noren,0.1825,0.5588,-0.0537,0.7663,-0.1338,-0.2300,0.84,0.0400,Scottish Open,PGA Tour,,,,,,,
Niklas Norgaard,0.2500,0.1233,0.0260,-0.0900,-0.6980,0.2000,-0.07,0.0200,Scottish Open,PGA Tour,,,,,,,
Shaun Norris,-0.5100,0.9000,-0.2800,1.4000,-0.0300,-0.0600,-0.11,-0.0300,Scottish Open,PGA Tour,,,,,,,
Andrew Novak  ,0.3167,0.2822,0.2722,-0.4300,0.2211,-0.0400,0.20,0.0000,Scottish Open,PGA Tour,,,,,,,
Thorbjorn Olesen,0.0800,0.0000,0.0167,-0.5267,0.0033,0.0100,-0.88,0.1100,Scottish Open,PGA Tour,,,,,,,
Adrian Otaegui,-1.0720,0.0000,-0.7100,-0.1700,0.2620,-0.1800,-1.84,0.0800,Scottish Open,PGA Tour,,,,,,,
John Parry,-0.3240,0.2440,0.6840,-0.7420,0.2620,-0.1200,-0.51,0.0000,Scottish Open,PGA Tour,,,,,,,
Matthieu Pavon,0.4625,0.0600,-0.4100,-0.9775,0.1025,0.0000,-0.55,0.0600,Scottish Open,PGA Tour,,,,,,,
Marco Penge,0.2467,0.2833,0.1100,-0.1367,-0.3933,0.2800,0.00,0.0300,Scottish Open,PGA Tour,,,,,,,
Victor Perez,0.7025,0.4025,0.2300,0.0200,-0.0175,-0.0900,1.07,0.1600,Scottish Open,PGA Tour,,,,,,,
Aldrich Potgieter  ,0.5900,0.4640,-0.0480,0.2140,-0.2000,0.3300,1.03,-0.0400,Scottish Open,PGA Tour,,,,,,,
Yurav Premlall,-0.7040,0.0620,0.0040,-0.5560,-0.2560,-0.0200,-1.76,-0.0400,Scottish Open,PGA Tour,,,,,,,
David Puig,0.6383,0.5417,-0.4400,0.5183,0.0883,0.1700,0.67,-0.0400,Scottish Open,PGA Tour,,,,,,,
Andrew Putnam,-0.5800,0.2657,0.4757,0.5800,0.2767,-0.4100,0.43,0.0500,Scottish Open,PGA Tour,,,,,,,
Jon Rahm,0.7700,1.6680,0.5620,0.0480,0.5450,-0.0500,1.68,-0.0200,Scottish Open,PGA Tour,,,,,,,
Aaron Rai  ,0.4520,1.0620,0.6800,0.0420,0.3000,-0.3800,1.94,0.1200,Scottish Open,PGA Tour,,,,,,,
David Ravetto,0.2340,0.0883,-0.3560,-0.5800,-0.2200,0.0500,-0.81,-0.0300,Scottish Open,PGA Tour,,,,,,,
Patrick Reed,-0.3667,0.6400,0.3600,-0.2600,0.6567,-0.1100,-0.06,-0.0400,Scottish Open,PGA Tour,,,,,,,
Kristoffer Reitan,0.7343,0.9471,0.3943,0.1457,0.0757,0.0100,1.54,0.0100,Scottish Open,PGA Tour,,,,,,,
Davis Riley  ,-0.7760,0.0000,-1.0800,0.2000,-0.1520,0.2300,-1.24,0.0000,Scottish Open,PGA Tour,,,,,,,
Daniel Rodrigues,-0.4640,0.2133,-0.2540,0.0020,-0.3720,-0.0200,-1.19,-0.0400,Scottish Open,PGA Tour,,,,,,,
Kevin Roy,-0.1980,0.0840,-0.5700,-0.2040,-0.0960,0.0300,-1.27,-0.0400,Scottish Open,PGA Tour,,,,,,,
Antoine Rozner,-0.1600,0.1750,0.3633,-0.2367,-0.1167,0.0200,-0.06,0.0600,Scottish Open,PGA Tour,,,,,,,
Adrien Saddier,-0.0033,0.0700,0.0900,-0.5800,-0.2933,-0.0400,-0.30,-0.0500,Scottish Open,PGA Tour,,,,,,,
Jayden Schaper,0.1660,0.0920,-0.3480,-0.8480,0.0720,-0.1900,-0.99,-0.0400,Scottish Open,PGA Tour,,,,,,,
Xander Schauffele  ,0.9020,1.4000,0.2560,0.0400,0.1060,-0.0200,1.30,0.0900,Scottish Open,PGA Tour,,,,,,,
Scottie Scheffler  ,0.9083,6.1900,1.2933,0.5667,0.4250,-0.2700,2.95,0.0200,Scottish Open,PGA Tour,,,,,,,
Matti Schmid  ,0.2967,0.0000,-0.2133,-0.7367,-0.4133,0.1600,-1.32,0.0100,Scottish Open,PGA Tour,,,,,,,
Freddy Schott,0.2175,0.0820,-0.6000,-1.0400,-0.4375,0.2200,-1.75,-0.0400,Scottish Open,PGA Tour,,,,,,,
Adam Scott,0.4140,0.5100,0.4400,-0.3080,0.0760,0.0400,0.34,0.0600,Scottish Open,PGA Tour,,,,,,,
Marcel Siem,-0.4700,0.0000,-0.9233,-0.5267,-0.5300,0.0600,-1.97,0.0700,Scottish Open,PGA Tour,,,,,,,
Alex Smalley,0.3383,1.2300,0.4450,0.4167,-0.0900,-0.0700,1.04,0.0300,Scottish Open,PGA Tour,,,,,,,
Jordan Smith,0.2380,0.1680,0.4860,-0.8180,-0.1920,-0.0300,-0.88,0.0800,Scottish Open,PGA Tour,,,,,,,
Austin Smotherman,0.3440,0.0420,0.3840,-0.6300,-0.6860,-0.1300,-0.63,-0.0400,Scottish Open,PGA Tour,,,,,,,
Brandt Snedeker,-0.4075,0.3175,0.6300,0.3650,0.1600,-0.3200,0.88,-0.0400,Scottish Open,PGA Tour,,,,,,,
J.J. Spaun  ,0.3763,1.2463,1.0875,-0.1475,0.2488,-0.1900,1.76,-0.0100,Scottish Open,PGA Tour,,,,,,,
Richard Sterne,-0.1867,0.1425,-0.5567,0.1567,0.0433,-0.0900,-0.98,-0.0400,Scottish Open,PGA Tour,,,,,,,
Sam Stevens  ,0.2757,0.2429,0.2057,-0.1743,-0.0429,0.0100,-0.18,-0.0300,Scottish Open,PGA Tour,,,,,,,
Sepp Straka  ,-0.2543,0.1043,0.2629,-0.0400,-0.4271,-0.0800,-0.51,0.0200,Scottish Open,PGA Tour,,,,,,,
Ockie Strydom,-1.2500,0.0000,-1.6200,-0.0400,0.2000,0.2600,-5.19,-0.0200,Scottish Open,PGA Tour,,,,,,,
Andy Sullivan,0.0525,0.0480,-0.5850,-0.1275,-0.3225,-0.1100,-1.10,0.0900,Scottish Open,PGA Tour,,,,,,,
Jesper Svensson,0.9350,0.5100,-1.3450,0.2200,-0.3450,0.2000,0.27,0.0300,Scottish Open,PGA Tour,,,,,,,
Connor Syme,-0.2950,0.0000,-0.7150,-1.5625,-0.3125,0.1200,-2.97,0.1200,Scottish Open,PGA Tour,,,,,,,
Nick Taylor  ,0.0425,0.4513,0.3013,0.3500,0.1475,-0.1800,0.99,0.0900,Scottish Open,PGA Tour,,,,,,,
Sahith Theegala,-0.0600,0.2057,0.2443,-0.2600,0.5686,0.0400,0.50,0.0100,Scottish Open,PGA Tour,,,,,,,
Justin Thomas  ,0.4057,0.9457,0.3529,0.1057,0.6014,-0.0700,2.07,0.0300,Scottish Open,PGA Tour,,,,,,,
Michael Thorbjornsen,0.4540,0.0620,-0.2520,-0.5840,-0.0360,0.0300,-0.48,-0.0400,Scottish Open,PGA Tour,,,,,,,
Darius Van Driel,-0.3620,0.1650,-0.4700,-0.0820,-0.1700,-0.1300,-1.00,0.0000,Scottish Open,PGA Tour,,,,,,,
Erik van Rooyen  ,-0.2450,0.2650,-0.4100,0.9000,-0.0200,0.0600,0.59,0.0900,Scottish Open,PGA Tour,,,,,,,
Johannes Veerman,-1.1550,0.0000,-1.7025,0.6250,-0.7050,0.1700,-2.86,0.0200,Scottish Open,PGA Tour,,,,,,,
Karl Vilips,-0.7400,0.1120,-0.3080,0.2720,0.1180,0.1200,-0.55,-0.0500,Scottish Open,PGA Tour,,,,,,,
Nicolai Von Dellingshausen,-0.1000,0.0483,-0.9520,-0.0900,-0.1920,0.0800,-1.65,-0.0200,Scottish Open,PGA Tour,,,,,,,
Matt Wallace,0.1140,0.2780,0.8180,0.1140,0.0225,-0.0700,0.81,0.0900,Scottish Open,PGA Tour,,,,,,,
Paul Waring,0.1525,0.2075,0.6500,-0.8675,-0.1850,0.0500,-0.22,-0.0200,Scottish Open,PGA Tour,,,,,,,
Bernd Wiesberger,0.1360,0.6817,-0.0240,0.0740,0.1820,-0.1500,0.43,0.0600,Scottish Open,PGA Tour,,,,,,,
Danny Willett,-0.8400,0.0200,-0.2800,0.7260,-0.4560,0.0500,-1.73,-0.0800,Scottish Open,PGA Tour,,,,,,,
Ashun Wu,-0.7333,0.1675,-0.3367,0.7933,0.1733,-0.0900,-0.51,0.0900,Scottish Open,PGA Tour,,,,,,,
Sudarshan Yellamaraju,0.4025,0.2613,-0.3663,0.0863,0.1186,0.0100,0.21,-0.0400,Scottish Open,PGA Tour,,,,,,,
Kevin Yu  ,0.4600,0.3675,0.2075,0.1350,-0.1100,0.0400,0.37,-0.0200,Scottish Open,PGA Tour,,,,,,,
