player_1,player_2,win_percent,wins_of_10000
Christiaan Bezuidenhout,Luke List,65.6,6557
Christiaan Bezuidenhout,Justin Lower,67.4,6743
Christiaan Bezuidenhout,Peter Malnati,79.6,7961
Christiaan Bezuidenhout,Hideki Matsuyama,44.4,4442
Christiaan Bezuidenhout,Denny McCarthy,55.9,5589
Christiaan Bezuidenhout,Matt McCarty,61.4,6140
Christiaan Bezuidenhout,Max McGreevy,55.8,5580
Christiaan Bezuidenhout,Maverick McNealy,54.7,5469
Christiaan Bezuidenhout,Mac Meissner,51.7,5174
Christiaan Bezuidenhout,Keith Mitchell,55.2,5518
Christiaan Bezuidenhout,Taylor Moore,67.7,6771
Christiaan Bezuidenhout,William Mouw,59.1,5907
Christiaan Bezuidenhout,Rasmus Neergaard-Petersen,55.8,5576
Christiaan Bezuidenhout,Alex Noren,57.5,5753
Christiaan Bezuidenhout,Andrew Novak,65.3,6533
Christiaan Bezuidenhout,Pontus Nyholm,74.6,7462
Christiaan Bezuidenhout,Thorbjorn Olesen,71.6,7162
Christiaan Bezuidenhout,John Parry,65.4,6535
Christiaan Bezuidenhout,Matthieu Pavon,70.1,7006
Christiaan Bezuidenhout,Taylor Pendrith,69.9,6989
Christiaan Bezuidenhout,Marco Penge,58.9,5892
Christiaan Bezuidenhout,Chandler Phillips,60.2,6023
Christiaan Bezuidenhout,J.T. Poston,47.5,4747
Christiaan Bezuidenhout,Aldrich Potgieter,71.5,7152
Christiaan Bezuidenhout,Seamus Power,65.5,6553
Christiaan Bezuidenhout,Andrew Putnam,58.7,5870
Christiaan Bezuidenhout,Aaron Rai,43.5,4349
Christiaan Bezuidenhout,Chad Ramey,78.2,7816
Christiaan Bezuidenhout,Davis Riley,73.2,7322
Christiaan Bezuidenhout,Patrick Rodgers,76.8,7678
Christiaan Bezuidenhout,Kevin Roy,66.2,6616
Christiaan Bezuidenhout,Marcelo Rozo,73.2,7320
Christiaan Bezuidenhout,Adrien Saddier,67.3,6733
Christiaan Bezuidenhout,Gordon Sargent,74.4,7439
Christiaan Bezuidenhout,Adam Schenk,76.3,7628
Christiaan Bezuidenhout,Matti Schmid,71.9,7193
Christiaan Bezuidenhout,Ben Silverman,62.4,6242
Christiaan Bezuidenhout,Webb Simpson,75.7,7565
Christiaan Bezuidenhout,Alex Smalley,57.4,5736
Christiaan Bezuidenhout,Jordan Smith,49.7,4967
Christiaan Bezuidenhout,Austin Smotherman,71.3,7135
Christiaan Bezuidenhout,Brandt Snedeker,56.7,5665
Christiaan Bezuidenhout,Jordan Spieth,65.5,6547
Christiaan Bezuidenhout,Sam Stevens,69.2,6916
Christiaan Bezuidenhout,Sepp Straka,66.2,6616
Christiaan Bezuidenhout,Kevin Streelman,61.6,6161
Christiaan Bezuidenhout,Jackson Suber,52.9,5289
Christiaan Bezuidenhout,Adam Svensson,70.2,7019
Christiaan Bezuidenhout,Jesper Svensson,67.9,6788
Christiaan Bezuidenhout,Nick Taylor,54.2,5423
Christiaan Bezuidenhout,Sahith Theegala,59.8,5985
Christiaan Bezuidenhout,Justin Thomas,42.4,4241
Christiaan Bezuidenhout,Davis Thompson,53.3,5334
Christiaan Bezuidenhout,Alejandro Tosti,81.6,8162
Christiaan Bezuidenhout,Erik van Rooyen,62.7,6273
Christiaan Bezuidenhout,John VanDerLaan,73.6,7356
Christiaan Bezuidenhout,Karl Vilips,72.8,7279
Christiaan Bezuidenhout,Camilo Villegas,66.5,6652
Christiaan Bezuidenhout,Danny Walker,85.0,8503
Christiaan Bezuidenhout,Matt Wallace,53.1,5306
Christiaan Bezuidenhout,Vince Whaley,76.5,7652
Christiaan Bezuidenhout,Aaron Wise,58.7,5875
Christiaan Bezuidenhout,Dylan Wu,71.0,7104
Christiaan Bezuidenhout,Cameron Young,42.2,4216
Christiaan Bezuidenhout,Kevin Yu,53.6,5357
Daniel Berger,Zach Bauchou,36.0,3597
Daniel Berger,Christiaan Bezuidenhout,27.8,2784
Daniel Berger,Zac Blair,24.5,2451
Daniel Berger,Chandler Blanchet,43.9,4395
Daniel Berger,Keegan Bradley,26.9,2685
Daniel Berger,Michael Brennan,34.2,3419
Daniel Berger,Brian Campbell,47.8,4783
Daniel Berger,Rafael Campos,54.3,5428
Daniel Berger,Ricky Castillo,35.2,3516
Daniel Berger,Bud Cauley,23.4,2340
Daniel Berger,Davis Chatfield,35.2,3523
Daniel Berger,Luke Clanton,39.3,3926
Daniel Berger,Eric Cole,31.4,3144
Daniel Berger,Pierceson Coody,46.1,4613
Daniel Berger,Joel Dahmen,33.0,3304
Daniel Berger,Cam Davis,59.3,5932
Daniel Berger,Jason Day,46.2,4623
Daniel Berger,Zecheng Dou,42.6,4260
Daniel Berger,Adrien Dumont de Chassart,46.0,4599
Daniel Berger,Nick Dunlap,52.8,5276
Daniel Berger,Nico Echavarria,32.9,3288
Daniel Berger,Austin Eckroat,40.5,4047
Daniel Berger,Harris English,30.6,3059
Daniel Berger,Tony Finau,43.9,4391
Daniel Berger,Patrick Fishburn,36.8,3681
Daniel Berger,Steven Fisk,47.2,4723
Daniel Berger,Alex Fitzpatrick,21.7,2171
Daniel Berger,Brice Garnett,39.5,3948
Daniel Berger,Ryan Gerard,22.7,2265
Daniel Berger,Doug Ghim,25.0,2503
Daniel Berger,Lucas Glover,36.7,3671
Daniel Berger,Max Greyserman,44.8,4476
Daniel Berger,Ben Griffin,22.4,2236
Daniel Berger,Lanto Griffin,46.0,4603
Daniel Berger,Emiliano Grillo,25.3,2529
Daniel Berger,Harry Hall,47.8,4777
Daniel Berger,Brian Harman,26.2,2624
Daniel Berger,Garrick Higgo,52.1,5209
Daniel Berger,Joe Highsmith,51.0,5105
Daniel Berger,Kensei Hirata,56.7,5672
Daniel Berger,Ryo Hisatsune,32.5,3253
Daniel Berger,Lee Hodges,31.7,3170
Daniel Berger,Rico Hoey,38.8,3882
Daniel Berger,Tom Hoge,38.8,3877
Daniel Berger,Rasmus Hojgaard,48.1,4808
Daniel Berger,Billy Horschel,33.6,3358
Daniel Berger,Beau Hossler,34.6,3462
Daniel Berger,Mark Hubbard,40.9,4087
Daniel Berger,Mackenzie Hughes,34.6,3462
Daniel Berger,Sungjae Im,34.5,3445
Daniel Berger,Stephan Jaeger,48.8,4882
Daniel Berger,Ben James,30.0,2996
Daniel Berger,Takumi Kanaya,40.7,4067
Daniel Berger,Jeffrey Kang,47.1,4712
Daniel Berger,Johnny Keefer,35.7,3571
Daniel Berger,Michael Kim,33.1,3313
Daniel Berger,Tom Kim,21.0,2096
Daniel Berger,Chris Kirk,37.4,3739
Daniel Berger,Patton Kizzire,77.0,7705
Daniel Berger,Brooks Koepka,34.0,3405
Daniel Berger,Ben Kohles,19.9,1990
Daniel Berger,Jackson Koivun,22.2,2223
Daniel Berger,Matt Kuchar,28.1,2806
Daniel Berger,Christo Lamprecht,79.3,7934
Daniel Berger,Hank Lebioda,49.8,4981
Daniel Berger,Haotong Li,53.9,5393
Daniel Berger,David Lipsky,38.6,3857
Daniel Berger,Luke List,42.6,4259
Daniel Berger,Justin Lower,44.6,4460
Daniel Berger,Peter Malnati,59.5,5949
Daniel Berger,Hideki Matsuyama,23.3,2333
Daniel Berger,Denny McCarthy,33.0,3302
Daniel Berger,Matt McCarty,38.3,3829
Daniel Berger,Max McGreevy,32.9,3293
Daniel Berger,Maverick McNealy,31.9,3192
Daniel Berger,Mac Meissner,29.3,2932
Daniel Berger,Keith Mitchell,32.4,3237
Daniel Berger,Taylor Moore,44.9,4490
Daniel Berger,William Mouw,36.0,3601
Daniel Berger,Rasmus Neergaard-Petersen,32.9,3290
Daniel Berger,Alex Noren,34.5,3455
Daniel Berger,Andrew Novak,42.3,4233
Daniel Berger,Pontus Nyholm,53.0,5299
Daniel Berger,Thorbjorn Olesen,49.4,4935
Daniel Berger,John Parry,42.4,4235
Daniel Berger,Matthieu Pavon,47.6,4755
Daniel Berger,Taylor Pendrith,47.4,4736
Daniel Berger,Marco Penge,35.9,3586
Daniel Berger,Chandler Phillips,37.1,3713
Daniel Berger,J.T. Poston,25.7,2575
Daniel Berger,Aldrich Potgieter,49.2,4924
Daniel Berger,Seamus Power,42.5,4254
Daniel Berger,Andrew Putnam,35.7,3565
Daniel Berger,Aaron Rai,22.6,2261
Daniel Berger,Chad Ramey,57.5,5754
Daniel Berger,Davis Riley,51.3,5127
Daniel Berger,Patrick Rodgers,55.7,5573
Daniel Berger,Kevin Roy,43.2,4322
Daniel Berger,Marcelo Rozo,51.2,5124
